texto,texto_traduzido
"Muito bom, pessoal gente fina, recomendo!","Very good, guys fine people, I recommend!"
Eu adoooooro esse lugar,I love this place
Atendimento de milhões,Millions' service
"Ótimo atendimento, garçonete muito atenciosa e prestativa. A comida estava bem temperada e bem preparada.","Great service, very attentive and helpful waitress. The food was well seasoned and well prepared."
"Minha família gosta muito do filé de tilápia do Limas Bar, vem acompanhado de um pirão maravilhoso. E a entrega sempre chega bem embalada e quentinha!
Sucesso! Eu indico! É um prato para toda família, desde os bebês até os adultos, todos aqui em casa amam esse prato saboroso. Super indico!!!","My family is very fond of the Limas Bar tilapia fillet, comes with a wonderful pirão. And the delivery always arrives well packed and warm!
Success! I indicate! It is a dish for the whole family, from babies to adults, all here at home love this tasty dish. Super Indico !!!"
"Preços exorbitantes
26 um suco de laranja
107 a caranha
Já frequentei muito, como me mudei, tinha uns 2 anos que não ia. Fui novamente essa semana, pra nunca mais.","Exorbitant prices
26 A orange juice
107 The Caranha
I already attended a lot, as I moved, I was about 2 years old. I went again this week, never again."
"Fui com a minha família e fui muito bem recepcionada! Excelente comida e um ótimo atendimento. Fui atendida pela Ana Beatriz, com um atendimento excepcional, sendo muito carinhosa e cuidadosa para que, nós pudéssemos nos sentir  confortáveis e bem atendidos. Recomendo.","I went with my family and was very well received! Excellent food and great service. I was attended by Ana Beatriz, with exceptional service, being very affectionate and careful so that we could feel comfortable and well attended. I recommend."
"Comida uma delicia , farofa de banana maravilhosa , peixe perfeito ... ambiente familiar , as meninas super atenciosas sempre fico muito avontade ...","Food a delight, wonderful banana crumbs, perfect fish ... family atmosphere, super attentive girls I always get a lot of avontade ..."
"Comida demora demais, quando a comida vem , chega fria. Atendimento péssimo, pessoal despreparado para atender. Fui duas vezes nesse local todas as vezes pedir uma coisa e vem outra. Não voltarei novamente, não recomendo.","Food takes too long, when the food comes, it arrives cold. Poor service, staff unprepared to attend. I went twice in this place every time to ask one thing and another one comes. I will not come back again, I do not recommend."
"Excelente! Atendimento, comida e ambiente. Recomendo por completo.","Great! Service, food and environment. I recommend it completely."
"Excelente atendimento da Ana Beatriz, muito prestativa, atenciosa, uma gracinha de pessoa.
Amamos ser atendida por ela.
A comida maravilhosa bem caseira. Saborosa.
Parabéns a essa casa que nós atende bem.
Parabéns Ana Beatriz e o Vinícius.
😋😋😍😍","Excellent service by Ana Beatriz, very helpful, attentive, a cute person.
We love being answered by her.
The wonderful food very homely. Tasty.
Congratulations to this house that we serve well.
Congratulations Ana Beatriz and Vinícius.
😋😋😍😍"
"Melhor atendimemto de Goiânia, Atendente  Ana Beatriz  , muito  atenciosa  e prestativa. E o melhor peixe, e as comidas todas deliciosas.  Gostei de demais","Best Atendimemto de Goiânia, Attendant Ana Beatriz, very attentive and helpful. And the best fish, and the delicious foods. I liked it too much"
"Ótima comida, tava uma delícia, atendente super atenciosa e educada,  vou voltar sempre","Great food, it was a delight, super attentive and polite attendant, I will always come back"
"Atendimento ótimo, comida deliciosa 😋 super indico","Great service, delicious food 😋 Super Indico"
"Lugar ótimo, a comida é super gostosa. Ana Beatriz atendente muito simpática.","Great place, the food is super hot. Ana Beatriz very friendly attendant."
"Pedi uma porção  pra levar , ñ olhei , veio peixe velho já frito anteriormente... triste , trágico.","I ordered a portion to take, I looked, came old fish already fried before ... sad, tragic."
"Refeição estava perfeita, chegou quentinho, comida bem temperada, estão de parabéns 👏👏🙏","Meal was perfect, arrived warm, well -seasoned food, congratulations 👏👏🙏"
"Serviço desorganizado. Atendentes batendo cabeça.
São educadas, mas , o serviço é desorganizado. Pode melhorar se tiver uma gerência mais ativa.","Disorganized service. Attendants hitting head.
They are educated, but the service is disorganized. It can improve if you have a more active management."
Amei a tilapia recheada o fui atendida pela Ana Beatriz atendimento maravilhoso super recomendo,I loved the stuffed tilapia I was answered by Ana Beatriz Wonderful service super recommend
Eu frequento a muito tempo ótimo serviço cerveja gelada e ótima comida o atendimento da Ana Beatriz é excelente 😃,I go to a long time great service cold beer and great food Ana Beatriz's service is excellent 😃
"Comida boa, preços bons,  bom atendimento. Vale a pena dar uma conferida.","Good food, good prices, good service. It is worth taking a look."
"O melhor file de tilapia.
Obrigado Ana Beatriz  pelo atendimento","The best file of tilapia.
Thank you Ana Beatriz for the service"
Lugar agradável e comida muito gostosa. Emily atendente muito simpática.,Nice place and very tasty food. Emily very friendly attendant.
"Ótimo lugar para sair com a família, as comidas são ótimas 🤩🤩🤩🤩","Great place to go out with the family, the foods are great 🤩🤩🤩🤩"
"Atendimento bom, cerveja gelada e comida muito boa.","Good service, cold beer and very good food."
Contei muito. Comida deliciosa,I told you a lot. Delicious food
Um filé de tilápia grelhada eu amoo,A grilled tilapia fillet I amo
Ótimas opções de pratos,Great dishes options
Comida muito boa...,Very good food ...
O melhor peixe 🐠 de Goiânia,The best fish 🐠 from Goiânia
Muito bom,Very good
Muito bom adorei,"Very good, I love it"
O pudim 🍮 o melhor de Goiânia,The best pudding of Goiânia
Muito bom ambiente famíliar recomendo,Very good family environment I recommend
O melhor peixe de Goiânia 😍,The best fish in Goiânia 😍
"Filé de arraiá
O mais top da cidade","Arraiá Fillet
The top in town"
Gosto muito do peixe.,I really like the fish.
Ambiente bem agradável,Very pleasant environment
Fraca a comida,Weak food
"Comida boa, apesar de ser a peso. A mesa de saladas faltava repor. A comida é saborosa, embora eu tenha achado o frango um pouco salgado. Tem comida japonesa também, já que os donos são orientais. O ambiente é muito popular e quem chega não tem muito boa aparência.","Good food, despite being the weight. The salad table was missing. The food is tasty, although I found the chicken a little salty. It has Japanese food too, since the owners are oriental. The atmosphere is very popular and those who arrive is not very good."
"Gosto demais da variedade da comida. Não tem churrasco, mas tem outras carnes muito boas (frango agridoce, peixe empanado e etc). Além dos sushis e da belíssima cajuina .","I really like the variety of food. It has no barbecue, but has other very good meats (bittersweet chicken, breaded fish and etc). Beyond the sushi and the beautiful Cajuina."
"O restaurante vende refeição por quilo, chequei as 13 horas e já estava no fim, deveriam fechar o portão, não deixar ninguém entrar...desta vez, não gostei, vou demorar a retornar.","The restaurant sells meal per kilo, checked at 1 pm and was already at the end, should close the gate, not let anyone come in ... this time, I did not like, I will take time to return."
"Ótima opção para almoço no setor Jaó. Grande variedade de comidas na opção self service, incluindo até comida japonesa. Comida muito apetitosa e com valor acessível.
Obs: não possui churrasco.
Recomendo","Great option for lunch in the Jaó sector. Large variety of foods in the self service option, including even Japanese food. Very appetizing and affordable food.
Note: has no barbecue.
I recommend"
"Atendimento excelente!
Comida e preço muito bom, ficou no peso 600 gramas em torno de 35$. E marmita a 20.","Excelent reception!
Very good food and price, it was in weight 600 grams around 35 $. And lunch box at 20."
"Excelente minha experiência no restaurante. Muitas opções de comida, ambiente muito confortável e um ótimo atendimento também.","Excellent my experience in the restaurant. Many food options, very comfortable atmosphere and great service as well."
Comida muito boa e um excelente atendimento 🙏🏼👍🏼,Very good food and excellent service 🙏🏼👍🏼
"A comida é muito boa, tem muita variedade. Mas alguns pratos têm excesso de pimenta, como o bife, por exemplo.","The food is very good, has a lot of variety. But some dishes have excess pepper, such as steak, for example."
Ótima comida e preços módicos.,Great food and modest prices.
"O lugar não tem identificação fica escondido, passei na porta e não encontrei, passando novamente é que achei.","The place has no identification is hidden, I passed the door and did not find, passing again is that I found."
Comida de excelente qualidade e bem sortida.,Excellent quality and very assorted food.
amooo a culinaria desse restaurante..super variada e deliciosa..preco honesto,amooo the culinaria of this restaurant..super varied and delicious. Honest
"Comida maravilhosa, adoro esse restaurante","Wonderful food, I love this restaurant"
"Além da boa comida, a música ambiente é MPB de boa qualidade e faz com que o ambiente fique tranquilo e os clientes mais satisfeitos. Pelo menos no meu caso.","In addition to good food, the music is good quality MPB and makes the environment calm and customers more satisfied. At least in my case."
"Ótima comida, um pouco cara, mas tem que chegar cedo, pq perto das 12hrs lota.","Great food, a little expensive, but you have to arrive early, because around 12hrs."
Local bom para uma refeição  saudável .,Good place for a healthy meal.
"Local simples porém agradável, com boa comida e bom atendimento.","Simple but pleasant place, with good food and good service."
"Para quem procura variar o tempero das refeições, vale a pena almoçar neste restaurante.","For those looking to vary the seasoning of meals, it is worth having lunch in this restaurant."
Ambiente. Aconchegante. Comida caseira. Atendimento educado e cordial.,Environment. Cozy. Homemade food. Educated and cordial service.
Melhor restaurante da região.,Best restaurant in the region.
Bom viu,Good saw
Meu lugar de almoço nos finais de semana!!,My place of lunch on weekends !!
"Muito bons ambiente, refeições e atendimento. Excelente cozinha.","Very good atmosphere, meals and service. Excellent kitchen."
Quero voltar mais vezes! Amei!,I want to go back more often! I loved!
Médio,Average
Comida por quilo de qualidade,Food per kilo of quality
"Lugar bacana! Gostei muito! Povo descontraído. Na última vez que fui, a rua tava fechada de gente! Muito gostasa a vibe.","Cool place! I really liked! Relaxed people. The last time I went, the street was closed of people! Very gostable the vibe."
Eu achei o preço muito salgado além de pagar cerveja e ainda tem que pagar o garçom r$ 13 uma cerveja lugar nem é tão chique assim ah pelo amor de Deus né fala sério Tem lugares muito melhores,"I found the price very salty besides paying beer and still has to pay the waiter $ 13 a beer place is not so chic ah for the love of God, seriously has much better places"
"Melhor bar de esquerda de Goiânia!
Comida boa  bebida gelada, galera inclusiva.
Se vc for da turma do preconceito vai lá pra aprender a respeitar a diversidade.","Best Left Bar in Goiânia!
Good food cold drink, inclusive guys.
If you are from the prejudice class goes there to learn to respect diversity."
"Dei match no tinder com um boyzinhi lindo que me levou lá depois de ir no Cine Ritz que fica na frente e que acerto. Botequinho, vibe alternativa, cadeira de plastico e cervejinha em pleno centro de Goiania. Estava em casa. Ao redor existem outras opções como o famoso Zé Latinhas, mas esse me pareceu mais interessante.","I made Match on Tinder with a beautiful boyzinhi that took me there after going to Cine Ritz that is in front and hit. Botequinho, alternative vibe, plastic chair and beer in the center of Goiania. I was at home. Around there are other options like the famous Zé Latinhas, but this one seemed more interesting."
"Gosto do local já tem um tempo.
Talvez deveriam ter mais garçons no atendimento externo. Pra ter uma atenção melhor aos pedidos e aos clientes.
Os valores são de mercado.
A diversidade de quem gosta da rua é de brilhar os olhos.
Então tudo certo.","I like the place has a while.
Perhaps they should have more waiters in external care. To pay better attention to orders and customers.
The values ​​are market.
The diversity of those who like the street is to shine their eyes.
Alright then."
"Gente descolada e sintonizada com seu tempo frequenta o local, atendentes joviais e simpáticos(as), cerveja gelada e comidinhas gostosas sem muita frescura.  Recomendo. Principalmente para JOVENS de 18 a 80 anos. Mas, com cabeça arejada para um ambiente plural.","Cool and tuned people with their time frequent the place, jovial and friendly attendants, cold beer and hot foods without much freshness. I recommend. Mainly for young people aged 18 to 80. But with airy head for a plural environment."
"Frequento o lugar já há um bom tempo e já dei 5 estrelas, porém o atendimento dos garçons está péssimo não da pra identificar quem é do atendimento e cliente 🤦🏻‍♂️","I have been in a long time for a long time and I've given 5 stars, but the waiters' service is bad not to identify who is the service and customer 🤦🏻‍♂️"
"Boteco de rua no centro de Goiânia. Bebida gelada,  garçons atenciosos,  comida de boteco muito gostosa, música boa e com altura bem moderada,  frequentado por um público bem alternativo. Q","Street bar in the center of Goiânia. Cold drink, attentive waiters, very hot bar food, good music and very moderate height, frequented by a very alternative audience. Q"
"A rua 8 se tornou um lugar pra se viver uma experiência de Goiânia anos 40 nos dias de hj em especial por esse local ter o intuito de movimentar o centro. Experiência mto boa, comida excelente.","Rua 8 has become a place to live a 40 -year -old Goiânia experience on the days of HJ especially because this place is intended to move the center. Experience is good, excellent food."
"Lugar incrível, com músicas ótimas e chopp gostoso.","Amazing place, with great songs and hot beer."
Muito bacana. Os atendentes são atenciosos e descontraídos.,Very cool. The attendants are attentive and relaxed.
Bom atendimento e drinks gostosos.,Good service and delicious drinks.
"Amo as playlists, o atendimento, a cozinha e os drinks. Nota 1000 ♥️⭐","I love the playlists, the service, the kitchen and the drinks. NOTE 1000 ♥ ️⭐"
Tudo maravilhosooooooo (⁠◍⁠•⁠ᴗ⁠•⁠◍⁠)⁠❤ petiscos delisss (⁠ ⁠˘⁠ ⁠³⁠˘⁠)⁠♥,Everything wonderfulooooooo (⁠◍⁠ • ⁠ᴗ⁠ • ⁠◍⁠) ⁠❤ Snacks delisss (⁠ ⁠³⁠˘⁠) ⁠ ♥
Só precisa ter melhores opções vegana,Just need to have better vegan options
Sô etero man kkk,Sô Etero Man kkk
Ótimo lugar para ouvir música com os amigos,Great place to listen to music with friends
Bom lugar,Good place
A bartender tem uns drinks ótimos,The bartender has great drinks
Excelente local.... Recomendo,Excellent place .... recommend
Música boa!,Good music!
"Incrível
Lugar excelente","Incredible
Excellent place"
"Atendimento incrível, comida boa","Amazing service, good food"
Bebidas com valores acessíveis,Drinks with accessible values
melhor lugar da cidade,Best place in the city
melhor lugar dessa cidade 🖤,Best place in this city 🖤
Adorei,I loved
Espaço alternativo,Alternative space
Eu Aprovo em todos os sentidos! Tudo de bom! E ainda o dono deixa eu tocar música ao vivo!,I approve of every way! All the best! And yet the owner lets me play live music!
"Jogo vôlei toda semana, lugar maravilhoso","Volleyball game every week, wonderful place"
Melhor lugar de futvôlei de Goiás!,BEST PLACE OF FUTVOLEI OF GOIÁS!
"ótimo ambiente, Rock na veia.....","Great atmosphere, rock in the vein ....."
"O ambiente e super agradável, a música e o atendimento são excelentes porém a comida deixou muito a desejar, pedi um prato quando cheguei e só recebi cerca de quase três horas depois quando eu já não queria mais.infelizmente tive essa experiência.","The environment is super nice, the music and the service are excellent but the food left a lot to be desired, I ordered a plate when I arrived and only received about almost three hours later when I no longer wanted. I had this experience."
Pra vc que quer um lugar descontraído e leve pra relaxar! Belga é o sua opção!,For you who want a relaxed place and take to relax! Belgian is your choice!
"Local com ótima ambientação, atendentes solícitos, música boa. Perfeito pra bater um papo e se divertir com amigo ou seu/sua @.","Place with great setting, helpful attendants, good music. Perfect to chat and have fun with friend or your @."
"Não muito espaço, impossibilita ter local para sentar, som é altíssimo, impossível conversar.","Not much space, it makes it impossible to have a place to sit, sound is very high, impossible to talk."
"Amo de coração! Lugar que se ouve boa música, bebe o que há de melhor no mundo e conhece gente bonita!","I love the heart! Place that you hear good music, drink the best in the world and know beautiful people!"
"Lugar bacana, música ao vivo de excelente qualidade e preço justo!","Cool place, live music of excellent quality and fair price!"
Para os amantes de um rock não tem lugar melhor em Goiânia. Boa carta de cerveja e ótima música sempre!,For lovers of a rock there is no better place in Goiânia. Good beer letter and great music always!
"Excelente ambiente.
Tema fantástico
Atendimento nota 10
Mas das últimas idas ao local, casa vazia. Bora gente! Bora pro Belga.","Excellent environment.
Fantastic
NOTE 10 SERVICE
But from the last trips to the place, House empty. Let's go! Let's go to Belgian."
"Tudo muito bom, atendimento excelente, merece mil estrelas","All very good, excellent service, deserves a thousand stars"
🖤🍻,🖤🍻
Obs: Não há cervejas tradicionais.,Note: There are no traditional beers.
"Chopp gelado e um ótimo sanduíche!!
Casca grossa, vale cada caloria ingerida!!!","Ice Chopp and a great sandwich !!
Thick shell, worth every calorie ingested !!!"
"Os clientes realmente são especiais para quem ali trabalha, ambiente ótimo e música boa!","Customers are really special for those who work there, great atmosphere and good music!"
Sensacional! Para apreciadores de cerveja e rock. Sensacional!!!,Sensational! For beer and rock lovers. Sensational!!!
"Chopp gelado, bom atendimento e um clima de pub bem aconchegante.","Ice Chapp, good service and a very cozy pub mood."
Amei!!,I loved!!
"Música boa, bebida gelada e muito rock ❤️❤️❤️","Good music, cold drink and a lot of rock ❤️❤️❤️"
Ótimo lugar para tomar uma chopp e curtir uma música.,Great place to have a beer and enjoy a song.
Adoro o serviço dessa galera!! Alto astral!! E a música sempre rock!!,I love the service of this guys !! High astral !! And the music always rock !!
Pub legal em Goiânia. Está em 2º lugar de pubs da cidade.,Legal pub in Goiânia. It is in 2nd place of pubs in the city.
Local ótimo para curtir Rock,Great place to enjoy rock
Lugar bacana. Uma boa IPA.,Cool place. A good IPA.
muito bom,very good
Muito bom música top,Very good top music
O melhor Pub de Goiânia!,The best pub in Goiânia!
"Chopp quente, com gosto duvidoso .","Hot beer, with dubious taste."
Começa às 20:00,Starts at 20:00
Ambiente bom,Good environment
"Lugar horrível apertado não tem lugar para as pessoas dançar daí acaba esbarrando na gente
A única coisa boa foi só a parte da segurança o resto e horrível nunca mas vou joguei meu dinheiro fora","Horrible place tight there is no place for people to dance from there ends up bumping into us
The only good thing was just the safety part the rest and horrible never but I will throw my money away"
"Amo estar nesse lugar.
Pra mim que amo Samba, pagode, sou Paulistana e filha de carioca... É o melhor na minha opinião.
Só acho que o horário de domingo deveria se estender um pouquinho mais☺️🎉😃😉.
Frequento desde 2016❤️🤩.","I love to be in this place.
For me I love samba, pagoda, I'm from São Paulo and daughter of Carioca ... it's the best in my opinion.
I just think Sunday time should extend a little more☺️☺😉.
I have frequented since 2016❤️🤩."
Ambiente Top De Linha Com muita música Boa Sambinha pagodinho e aquela cerveja gelada E só aqui no Taper Bar,Top of line environment with lots of good music sambinha pagodinho and that cold beer and only here at Taper Bar
"Lugar agradável, espaço amplo , limpeza ótima,
Serviço de qualidade e fácil localização..
Ótima opção!","Pleasant place, large space, great cleaning,
Quality service and easy location ..
Great option!"
"Ótimo atendimento todos simpáticos é principalmente educados
Voltarei mais vezes","Great service all friendly is mainly educated
I will come back more often"
Ambiente top pra  um bom entretenimento,Top environment for good entertainment
Ambiente perfeito pra quem gosta de música 🎷🎷,Perfect environment for those who like music 🎷🎷
Odiei o tipo de música.Ambiente bastante tranquilo. Sem narguilé o que amei.,I hated the kind of music. Environment very quiet. No hookah what I loved.
"Gostei do lugar. Só audível, espaço maravilhoso, o local para fotos então...muito bom","I liked the place. Only audible, wonderful space, the place for photos then ... very good"
"Poderia ser melhor, mais gostei","It could be better, the more I liked"
Local agradável.  Bebidas geladas é ótimas músicas,Pleasant place. Cold drinks is great songs
Surpreso com as bebidas 🤤 e um atendimento maravilhoso 🙏🏽,Surprised with the drinks 🤤 and a wonderful service 🙏🏽
"Estamos Juntos A 10 Anos....
Sempre Comemorando Meu Niver Cm Aquele Pagodinho Top,Cerveja Gelada, Mulher Bonita.
Um dos melhores pagodes de Goiânia","We are together for 10 years ....
Always celebrating my Niver cm that pagodinho top, cold beer, beautiful woman.
One of the best pagodas in Goiânia"
Ótima banda de pacote aos domingos no final da tarde.,Great package band on Sundays in the late afternoon.
"bar agradável, música show","Nice bar, Show Music"
Achei caro pela estrutura que tem.,I found it expensive for the structure it has.
A musica é ótima. São atenciosos no atendimento ambiente bom.,The music is great. They are attentive in good environmental service.
Lugar de musica boa pagode,PLACE OF GOOD PAGODE
"Boa música, cerveja geladinha","Good music, cold beer"
E. Um. Ótimo lugar.,It is a great place.
"Pagode de qualidade em Goiânia.
A melhor casa de pagode de Gyn, com bandas de qualidade e o melhor samba e pagode do Brasil.","Quality pagoda in Goiânia.
Gyn's best pagoda house, with quality bands and the best samba and pagoda in Brazil."
"Perfeito, música incrível","Perfect, amazing music"
Excelente lugar,Excellent place
Lugar sensacional,Sensational place
Espaço pequeno e preços altos.,Small space and high prices.
Música boa ambiente agradável,Pleasant good atmosphere
Tem bandas excelentes,Has excellent bands
Amo esse lugar,I love this place
O melhor pagode de Goiânia,The best pagoda in Goiânia
Excelente!,Great!
Melhor pagode,Best Pagoda
Otimo,Excellent
Aconchegante!,Cozy!
Massa o pagode,Mass the pagoda
Barzinho aconchegante,Cozy bar
Ótima,Excellent
"Ambiente bom, comida deliciosa","Good atmosphere, delicious food"
Top,Top
Servico excelente,Excellent service
Sem comentários.esquece,No comments.
"Comida gostosa, bem servida e o atendimento muito bom pelo Carlos.
Recomendo o lugar.","Hot food, well served and the service very good by Carlos.
I recommend the place."
"Fomos em família para o local, porém de garçons a direção, são todos corruptos... Adicionaram cerejas a mais na comanda, e quando fomos reclamar, nós ameaçaram e pediram pra não voltar ao local.","We went to family to the scene, but from waiters to direction, they are all corrupt ... they added extra cherries in the command, and when we went to complain, we threatened and asked not to return to the scene."
"Atendimento ótimo, petisco bom , cerveja super gelada só não gostei do ambiente muito escuro e desconfortável...","Great service, good snack, super cold beer just didn't like the very dark and uncomfortable environment ..."
"Sou super sincero: a comida era exelente,  ambiente bar bom,fui tenta faze alguns amizade
Da 18 mulheres que eu vir , 1 linda  e 2 bonitas","I am super sincere: the food was excellent, environment bar good, I was trying to make some friendship
Of 18 women I come, 1 beautiful and 2 beautiful"
"Péssimo lugar, caro e aberto, com muito cheiro de cigarro, fiquei 1h no ambiente paguei 82 reais em 2 cervejas e uma porção de costela de peixe frito!! Absurdo, nunca mais volto!","Bad place, expensive and open, smelling of cigarettes, I was 1h in the environment I paid 82 reais in 2 beers and a portion of fried fish rib !! Absurd, I never come back!"
Lugar top para reunir a galera e curtir no fim de semana,Top place to gather the crowd and enjoy the weekend
"Amo de mais esse espaço! Ambiente muito organizado, colaboradores maravilhosos!
Musica ao vivo de qualidade!","I love this space more! Very organized environment, wonderful collaborators!
Quality live music!"
"Ótimo atendimento, cerveja gelada e música boa.","Great service, cold beer and good music."
Com uma hora de show ao vivo a polícia chegou e mandou desligar tudo! Aí acabou o clima! O negócio foi ir embora kk’,With an hour of live show the police arrived and told everything! Then the mood is over! The deal went to leave kk ’
"Muito bom o ambiente, música ao vivo. Mas para o atendimento deixa a desejar com poucos garçons. Nisso ficam sobrecarregados o que acarreta a demora na entrega dos pedidos.","Very good atmosphere, live music. But for the service leaves to be desired with few waiters. This are overwhelmed which causes the delay in delivery of orders."
"Não tem o que está escrito no cardápio, atendentes despreparados e não atenciosos. Não recomendo! Comida bem mediana.","There is no what is written on the menu, unprepared and non -attentive attendants. I do not recommend! Very medium food."
"Lugar espaçoso,  palco alto pra ver os artistas que estão apresentando.  Cerveja geladissima. Drinks deliciosos","Spacious place, high stage to see the artists they are presenting. GERADISSIMA beer. Delicious drinks"
Poucas opções de petiscos e as que comi teve gosto de óleo sujo. Tânia frios cara é ruim. Poderia ser melhor,Few snack options and those I ate was tasteful of dirty oil. Tânia Cold man is bad. Could be better
"Precisa melhorar a limpeza do banheiro feminino! Poucos garçons, pedimos uma batata que não veio! Esperamos mais de duas horas e meia e nada! Saímos extremamente chateados!!!!!!","Need to improve the cleaning of the women's bathroom! Few waiters, we ordered a potato that didn't come! We expect more than two and a half hours and nothing! We left extremely upset !!!!!!"
Excelente ambiente música boa e cerveja gelada 🙂,Excellent environment good music and cold beer 🙂
"Muito ruim,cobra entrada 15 reais ,mais couver artistico.","Very bad, charges entrance 15 reais, more artistic."
"Ótimo ambiente, ótimo atendimento e cerveja bem gelada.","Great atmosphere, great service and very cold beer."
Ótimo ambiente e atendimento !!!,Great atmosphere and service !!!
"Muito bem atendida, incrível.","Very well attended, amazing."
Música extremamente alta. Horrívi!,Extremely high music. Horrívi!
Muito massa 👏,MUCH MASS 👏
Ótimo 👍👍,Great 👍👍
Excelente 💎💎,Excellent 💎💎
Ótimo lugar,Optimal
Comida caseira exelente ........Bom atendimento .........ambiente familiar..,Excellent homemade food ........ good service ......... family environment ..
"A comida é simplesmente deliciosa, todas as porções me agradaram, a jantinha então nem se fala, muito bem servida e a picanha é picanha mesmo hehe. O atendimento é sempre impecável, garçons todos muito gentis e te fazem sentir ser parte da família. Ambiente bem aconchegante e agradável.","The food is simply delicious, all the portions pleased me, the dinner so not even talk, very well served and the picanha is even hehe picanha. The service is always impeccable, all kinds very kind and make you feel part of the family. Very cozy and pleasant atmosphere."
"Otimo, vale a pena. Eu sempre ia no Matuto, mas aí, hj 23 maio 23 , Fiquei 10 minutos esperando o 1° atendimento da noite ... ninguém me atendeu,  vim no vizinho BAR DO TCHÉ, mal sentei e fui atendido e a cerveja mega gelada ..  ganharam o freguês.","Great, it's worth it. I always went to Matuto, but then, today 23 May 23, I was 10 minutes waiting for the 1st service of the night ... No one answered me, I came in the neighboring bar of Tché, I really did and I was answered and the cold beer .. They won the customer."
"É um boteco bacana, ambiente simples e agradável. A comida é bem feita, sem estrelismo. Só demora um pouco, mas quando fui estava cheio.","It is a nice bar, simple and pleasant environment. The food is well done, without starry. It only takes a while, but when I went it was full."
"Comida Boa! Ótima,
Melhor atendimento Rápido isso é oque torna qualquer lugar xique! Atendimento de primeira e agilidade.!

Sem Contar que acho muito em conta o preço. Por tanta qualidade.","Nice food! Excellent,
Better Fast Service This is what makes any place xique! First service and agility.!

Not to mention that I find the price very much. For so much quality."
"Lugar típico de butecagem no St Universitário, cardápio simples com carnes na tabua e espetinho, cerveja geladinha. Adorei!!","Typical place of butecage in ST university, simple menu with meats on the tabua and skewers, cold beer. I loved!!"
"ambiente tranquilo, descontraido, comida muito boa, e preço excelente, vale com certeza uma ida e aproveitar!!","Quiet, relaxed atmosphere, very good food, and excellent price, is surely a trip and enjoy !!"
"Atendimento muito bom, tem espaço dentro e fora, a comida tem um preço muito bom e é saborosa.","Very good service, has space inside and outside, the food has a very good price and is tasty."
"Lugar agradável, pratos muito bons, bom atendimento.","Nice place, very good dishes, good service."
Servi um peixe 😋 atendimento muito bom,Served a fish 😋 very good service
A cerveja é gelada e tem ótimos tira-gostos.,The beer is cold and has great strap.
Um bar e restaurante com bom alimentos e bebidas. O atendimento também é supimpa.,A bar and restaurant with good food and drinks. The service is also Supimpa.
Muito bom melhor só o Tantan wine lá e ótimo,Very good better just the such Wine there and great
"Gostei muito do espaço, da comida/bebida e atendimento","I really liked the space, food/drink and service"
"Bar excelente, desde o atendimento a comida!","Excellent bar, since food service!"
Já experimentou a pimenta recheada.,Already tried the stuffed pepper.
Muito bom super indico,Very good super indicate
"Atendimento, comida e preço muito bons!","Service, food and very good price!"
"Cerveja gelada, ótimo ambiente.","Cold beer, great atmosphere."
Atendimento profissional e o preço justo.,Professional service and the fair price.
Ambiente agradável. Comida deliciosa. Atendimento melhor ainda.,Pleasant environment. Delicious food. Service even better.
Cerva gelada com jantinha 🤩🤩🤩🤩,Cold Cervo with Jantinha 🤩🤩🤩🤩
Comida e atendimento incríveis!!,Amazing food and service !!
"Lugar excelente, familiar. Atendimento nota 10.","Excellent place, familiar. NOTE 10."
O melhor sem dúvidas,The best without a doubt
Ótimo.,Excellent.
É bom,It is good
Otimo,Excellent
Espetinho maravilhoso!!!!,Wonderful skewer !!!!
".,...........................................................................................m.m........................................................................................................","., ................................................ ........................................... M.M ....... .................................................. ..................................................."
Top,Top
"Sinceramente! Sai sem comer nada! Demora atendimento , pedi refeição, depois disseram que acabou, logo vi servindo outra mesa! Horrível experiência que tive hoje lá ! Lamentável","Sincerely! Get out without eating anything! It takes care, I asked for a meal, then they said it was over, soon I saw another table! Horrible experience I had today! Unfortunate"
"Comida top com ambiente temático, tudo retrô... Bem legal!","Top food with thematic environment, all retro ... very cool!"
"Melhor local para almoço aos Sábados, arroz Carreteiro, feijoada e galinhada. Sabor caseiro delicioso!!!","Best place for lunch on Saturdays, carreteiro rice, feijoada and chicken. Delicious homemade flavor !!!"
"Melhores espetinhos da cidade. Caldos, disco frito e muito mais. Tudo excelente","Best skewers in town. Broths, fried disk and more. EVERYTHING EXCELLENT"
"Excelente
Vale a pena, espetos assados na hora","Great
It is worth it, baked skewers at the time"
"Muito agradável. Cerveja gelada,  espetinhos e outros petiscos.","Very nice. Cold beer, skewers and other snacks."
"Bom ambiente, boa comida e bom atendimento.","Good atmosphere, good food and good service."
"RECOMENDO 1000 VEZES, TUDO MUITO BOM. AMO A COMIDA, TODOS MARAVILHOSOS!","I recommend 1000 times, all very good. I love the food, all wonderful!"
"Experiência  ímpar. Não é só um bar, é uma volta ao passado !","Odd experience. It's not just a bar, it's a lap to the past!"
Comida excelente,Excellent food
Ambiente agradável e bom atendimento.,Nice atmosphere and good service.
"O nome já fala, o miozim du Goiás. Pode ir lá e conferir, eu recomendo pra todos.","The name already speaks, Miozim du Goiás. You can go there and check it out, I recommend it to everyone."
